City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,qaqortoq,60.72,-46.03,69.8,35,0,3.36,GL,1595188199
334,victoria falls,-17.92,25.84,52.54,58,0,1.59,ZW,1595188199
335,kirovskiy,45.09,133.51,63.05,93,100,3.51,RU,1595188199
336,bongor,10.28,15.37,80.74,68,98,5.35,TD,1595188199
337,kahului,20.89,-156.47,86.0,55,40,23.04,US,1595187987
338,katsuura,35.13,140.3,73.4,100,75,2.24,JP,1595188199
339,hami,42.8,93.45,86.68,17,95,10.38,CN,1595188199
340,sukumo,32.93,132.73,74.68,94,100,2.19,JP,1595188199
341,bireun,5.2,96.7,77.77,84,100,3.74,ID,1595188199
342,japura,-0.32,102.35,73.65,97,6,2.08,ID,1595188199
343,kirakira,-10.45,161.92,78.12,85,20,7.76,SB,1595188199
344,anzio,41.49,12.62,75.0,60,0,1.99,IT,1595188199
345,nioki,-2.72,17.68,78.98,44,70,1.32,CD,1595188200
346,owando,-0.48,15.9,74.97,80,100,3.49,CG,1595188200
347,belmonte,-15.86,-38.88,77.0,65,40,6.93,BR,1595188200
348,clyde river,70.47,-68.59,48.2,76,1,14.99,CA,1595188200
349,ambovombe,-25.17,46.08,64.87,75,0,16.55,MG,1595188200
350,corinto,37.94,22.96,79.0,52,0,1.99,GR,1595188200
351,caravelas,-17.71,-39.25,72.95,82,82,8.34,BR,1595188201
352,ust-nera,64.57,143.2,57.11,69,100,5.1,RU,1595188201
353,kamaishi,39.27,141.88,65.93,90,95,3.2,JP,1595188201
354,prachuap khiri khan,11.82,99.78,79.57,85,100,6.44,TH,1595188047
355,baruun-urt,46.68,113.28,49.46,69,38,10.38,MN,1595188201
356,swan hill,-35.34,143.55,38.57,93,0,6.89,AU,1595188201
357,toora-khem,52.47,96.11,47.7,71,0,2.06,RU,1595188201
358,luwuk,-0.95,122.79,77.32,78,35,5.82,ID,1595188202
359,ndele,8.41,20.65,69.66,90,100,1.61,CF,1595188202
360,luanda,-8.84,13.23,71.6,83,0,6.93,AO,1595188202
361,bahia blanca,-38.72,-62.27,57.4,63,88,12.68,AR,1595188202
362,fukue,32.69,128.84,78.62,93,100,15.17,JP,1595188202
363,kavaratti,10.57,72.64,81.63,81,100,14.5,IN,1595188202
364,kieta,-6.22,155.63,76.93,76,3,4.99,PG,1595188203
365,bilibino,68.05,166.44,62.1,54,0,1.61,RU,1595188203
366,henties bay,-22.12,14.28,65.93,33,0,7.18,NA,1595188203
367,muros,42.78,-9.06,68.0,80,0,7.0,ES,1595188203
368,pauini,-7.71,-66.98,92.23,44,81,2.55,BR,1595188203
369,morant bay,17.88,-76.41,87.8,70,75,20.8,JM,1595188203
370,altay,47.87,88.12,64.44,50,71,1.95,CN,1595188203
371,tilichiki,60.47,166.1,49.84,98,100,8.05,RU,1595188203
372,bibiani,6.46,-2.32,71.6,99,9,2.53,GH,1595188203
373,kolyvan,55.31,82.74,60.8,93,47,2.24,RU,1595188204
374,marica,-22.92,-42.82,80.6,61,0,6.93,BR,1595188204
375,batagay,67.63,134.63,62.47,76,97,3.31,RU,1595188204
376,stavern,59.0,10.03,60.01,100,75,9.17,NO,1595188078
377,faya,18.39,42.45,75.2,53,100,6.93,SA,1595188198
378,hereford,52.06,-2.71,61.0,67,7,8.23,GB,1595188204
379,halkirk,52.28,-112.15,73.0,63,76,4.0,CA,1595188204
380,puerto vallarta,20.62,-105.23,91.0,70,20,9.17,MX,1595188204
381,ucluelet,48.93,-125.55,57.2,93,20,4.7,CA,1595188014
382,pontianak,-0.03,109.33,75.2,95,100,3.2,ID,1595187966
383,shingu,33.73,135.98,71.85,83,100,5.14,JP,1595188204
384,perth,-31.93,115.83,46.0,93,20,5.82,AU,1595188106
